[2026-07-07 11:49:50.980138] [tm_devices] [   DEBUG] timezone==America/New_York
[2026-07-07 11:49:50.981186] [tm_devices] [   DEBUG] tm_devices==3.6.1
[2026-07-07 11:49:50.981337] [tm_devices] [    INFO] Opening DeviceManager
[2026-07-07 11:49:50.981802] [tm_devices] [ WARNING] An unsupported device type is being added to the DeviceManager. Not all functionality will be available in the device driver. Please consider contributing to tm_devices to implement official support for this device type.
[2026-07-07 11:49:50.981895] [tm_devices] [    INFO] Creating Connection to UNSUPPORTED 1
[2026-07-07 11:49:51.361598] [tm_devices] [   DEBUG] SCOPE VISA timeout set to: 5000.000ms
[2026-07-07 11:49:51.361891] [tm_devices] [    INFO] (SCOPE 1) Query >>  '*IDN?'
[2026-07-07 11:49:51.381153] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,DPO2014B,C040933,CF:91.1CT FV:v1.56'
[2026-07-07 11:49:51.381361] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH1?'
[2026-07-07 11:49:51.402205] [tm_devices] [    INFO] Response from 'SELect:CH1?' >>  '1'
[2026-07-07 11:49:51.402365] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH2?'
[2026-07-07 11:49:51.424693] [tm_devices] [    INFO] Response from 'SELect:CH2?' >>  '0'
[2026-07-07 11:49:51.425270] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH3?'
[2026-07-07 11:49:51.447303] [tm_devices] [    INFO] Response from 'SELect:CH3?' >>  '0'
[2026-07-07 11:49:51.447588] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH4?'
[2026-07-07 11:49:51.468686] [tm_devices] [    INFO] Response from 'SELect:CH4?' >>  '1'
[2026-07-07 11:49:51.469253] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:ENCdg RIBinary'
[2026-07-07 11:49:51.486899] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:WIDth 2'
[2026-07-07 11:49:51.504336] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:SOUrce CH1'
