[2026-07-07 13:06:17.473897] [tm_devices] [   DEBUG] timezone==America/New_York
[2026-07-07 13:06:17.474884] [tm_devices] [   DEBUG] tm_devices==3.6.1
[2026-07-07 13:06:17.475058] [tm_devices] [    INFO] Opening DeviceManager
[2026-07-07 13:06:17.475582] [tm_devices] [ WARNING] An unsupported device type is being added to the DeviceManager. Not all functionality will be available in the device driver. Please consider contributing to tm_devices to implement official support for this device type.
[2026-07-07 13:06:17.475679] [tm_devices] [    INFO] Creating Connection to UNSUPPORTED 1
[2026-07-07 13:06:17.854423] [tm_devices] [   DEBUG] SCOPE VISA timeout set to: 5000.000ms
[2026-07-07 13:06:17.854753] [tm_devices] [    INFO] (SCOPE 1) Query >>  '*IDN?'
[2026-07-07 13:06:17.876821] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,DPO2014B,C040933,CF:91.1CT FV:v1.56'
[2026-07-07 13:06:17.877190] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH1?'
[2026-07-07 13:06:17.898584] [tm_devices] [    INFO] Response from 'SELect:CH1?' >>  '1'
[2026-07-07 13:06:17.898910] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH2?'
[2026-07-07 13:06:17.919567] [tm_devices] [    INFO] Response from 'SELect:CH2?' >>  '1'
[2026-07-07 13:06:17.919928] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH3?'
[2026-07-07 13:06:17.942732] [tm_devices] [    INFO] Response from 'SELect:CH3?' >>  '1'
[2026-07-07 13:06:17.942935] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH4?'
[2026-07-07 13:06:17.963926] [tm_devices] [    INFO] Response from 'SELect:CH4?' >>  '1'
[2026-07-07 13:06:17.964223] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:ENCdg RIBinary'
[2026-07-07 13:06:17.981590] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:WIDth 2'
[2026-07-07 13:06:17.999045] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:SOUrce CH1'
[2026-07-07 13:06:18.017309] [tm_devices] [    INFO] (SCOPE 1) Query >>  'HORizontal:RECOrdlength?'
[2026-07-07 13:06:18.041224] [tm_devices] [    INFO] Response from 'HORizontal:RECOrdlength?' >>  '125000'
[2026-07-07 13:06:18.041492] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STARt 1'
[2026-07-07 13:06:18.058544] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STOP 125000'
[2026-07-07 13:06:18.083620] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XINcr?'
[2026-07-07 13:06:18.222626] [tm_devices] [    INFO] Response from 'WFMPre:XINcr?' >>  '8.0000E-6'
[2026-07-07 13:06:18.222878] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XZEro?'
[2026-07-07 13:06:18.362672] [tm_devices] [    INFO] Response from 'WFMPre:XZEro?' >>  '-500.0000E-3'
[2026-07-07 13:06:18.362996] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:PT_Off?'
[2026-07-07 13:06:18.402213] [tm_devices] [    INFO] Response from 'WFMPre:PT_Off?' >>  '0'
[2026-07-07 13:06:18.402476] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YMUlt?'
[2026-07-07 13:06:18.541762] [tm_devices] [    INFO] Response from 'WFMPre:YMUlt?' >>  '156.2500E-6'
[2026-07-07 13:06:18.542047] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YOFf?'
[2026-07-07 13:06:18.682279] [tm_devices] [    INFO] Response from 'WFMPre:YOFf?' >>  '23.0400E+3'
[2026-07-07 13:06:18.682544] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YZEro?'
[2026-07-07 13:06:18.829590] [tm_devices] [    INFO] Response from 'WFMPre:YZEro?' >>  '0.0E+0'
[2026-07-07 13:06:18.829856] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YUNit?'
[2026-07-07 13:06:18.970177] [tm_devices] [    INFO] Response from 'WFMPre:YUNit?' >>  '"V"'
[2026-07-07 13:06:18.970647] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XUNit?'
[2026-07-07 13:06:19.117132] [tm_devices] [    INFO] Response from 'WFMPre:XUNit?' >>  '"s"'
[2026-07-07 13:06:19.117905] [tm_devices] [    INFO] (SCOPE 1) Query Binary Values >>  'CURVe?'
