[2026-07-07 11:58:06.352334] [tm_devices] [   DEBUG] timezone==America/New_York
[2026-07-07 11:58:06.353920] [tm_devices] [   DEBUG] tm_devices==3.6.1
[2026-07-07 11:58:06.354155] [tm_devices] [    INFO] Opening DeviceManager
[2026-07-07 11:58:06.355238] [tm_devices] [ WARNING] An unsupported device type is being added to the DeviceManager. Not all functionality will be available in the device driver. Please consider contributing to tm_devices to implement official support for this device type.
[2026-07-07 11:58:06.355878] [tm_devices] [    INFO] Creating Connection to UNSUPPORTED 1
[2026-07-07 11:58:06.747248] [tm_devices] [   DEBUG] SCOPE VISA timeout set to: 5000.000ms
[2026-07-07 11:58:06.747518] [tm_devices] [    INFO] (SCOPE 1) Query >>  '*IDN?'
[2026-07-07 11:58:06.768102] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,DPO2014B,C040933,CF:91.1CT FV:v1.56'
[2026-07-07 11:58:06.778892] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH1?'
[2026-07-07 11:58:06.801504] [tm_devices] [    INFO] Response from 'SELect:CH1?' >>  '1'
[2026-07-07 11:58:06.802929] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH2?'
[2026-07-07 11:58:06.826530] [tm_devices] [    INFO] Response from 'SELect:CH2?' >>  '0'
[2026-07-07 11:58:06.828106] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH3?'
[2026-07-07 11:58:06.850036] [tm_devices] [    INFO] Response from 'SELect:CH3?' >>  '0'
[2026-07-07 11:58:06.851493] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH4?'
[2026-07-07 11:58:06.872522] [tm_devices] [    INFO] Response from 'SELect:CH4?' >>  '1'
[2026-07-07 11:58:06.888881] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:ENCdg RIBinary'
[2026-07-07 11:58:06.908448] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:WIDth 2'
[2026-07-07 11:58:06.929755] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:SOUrce CH1'
[2026-07-07 11:58:06.949243] [tm_devices] [    INFO] (SCOPE 1) Query >>  'HORizontal:RECOrdlength?'
[2026-07-07 11:58:06.980515] [tm_devices] [    INFO] Response from 'HORizontal:RECOrdlength?' >>  '125000'
[2026-07-07 11:58:06.982461] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STARt 1'
[2026-07-07 11:58:07.001369] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STOP 125000'
[2026-07-07 11:58:07.027563] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XINcr?'
[2026-07-07 11:58:07.201133] [tm_devices] [    INFO] Response from 'WFMPre:XINcr?' >>  '3.2000E-6'
[2026-07-07 11:58:07.202812] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XZEro?'
[2026-07-07 11:58:07.401328] [tm_devices] [    INFO] Response from 'WFMPre:XZEro?' >>  '-200.0000E-3'
[2026-07-07 11:58:07.402811] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:PT_Off?'
[2026-07-07 11:58:07.427014] [tm_devices] [    INFO] Response from 'WFMPre:PT_Off?' >>  '0'
[2026-07-07 11:58:07.428702] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YMUlt?'
[2026-07-07 11:58:07.602771] [tm_devices] [    INFO] Response from 'WFMPre:YMUlt?' >>  '1.5625E-3'
[2026-07-07 11:58:07.604094] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YOFf?'
[2026-07-07 11:58:07.808018] [tm_devices] [    INFO] Response from 'WFMPre:YOFf?' >>  '16.7680E+3'
[2026-07-07 11:58:07.809384] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YZEro?'
[2026-07-07 11:58:08.013186] [tm_devices] [    INFO] Response from 'WFMPre:YZEro?' >>  '0.0E+0'
[2026-07-07 11:58:08.014673] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:YUNit?'
[2026-07-07 11:58:08.199257] [tm_devices] [    INFO] Response from 'WFMPre:YUNit?' >>  '"V"'
[2026-07-07 11:58:08.200690] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XUNit?'
[2026-07-07 11:58:08.394558] [tm_devices] [    INFO] Response from 'WFMPre:XUNit?' >>  '"s"'
[2026-07-07 11:58:08.396333] [tm_devices] [    INFO] (SCOPE 1) Query Binary Values >>  'CURVe?'
