[2026-07-07 13:22:29.518759] [tm_devices] [   DEBUG] timezone==America/New_York
[2026-07-07 13:22:29.520700] [tm_devices] [   DEBUG] tm_devices==3.6.1
[2026-07-07 13:22:29.520961] [tm_devices] [    INFO] Opening DeviceManager
[2026-07-07 13:22:29.522495] [tm_devices] [ WARNING] An unsupported device type is being added to the DeviceManager. Not all functionality will be available in the device driver. Please consider contributing to tm_devices to implement official support for this device type.
[2026-07-07 13:22:29.523364] [tm_devices] [    INFO] Creating Connection to UNSUPPORTED 1
[2026-07-07 13:22:29.901239] [tm_devices] [   DEBUG] SCOPE VISA timeout set to: 5000.000ms
[2026-07-07 13:22:29.901497] [tm_devices] [    INFO] (SCOPE 1) Query >>  '*IDN?'
[2026-07-07 13:22:29.923610] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,DPO2014B,C040933,CF:91.1CT FV:v1.56'
[2026-07-07 13:22:29.938030] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH1?'
[2026-07-07 13:22:29.965090] [tm_devices] [    INFO] Response from 'SELect:CH1?' >>  '1'
[2026-07-07 13:22:29.967557] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH2?'
[2026-07-07 13:22:29.990872] [tm_devices] [    INFO] Response from 'SELect:CH2?' >>  '1'
[2026-07-07 13:22:29.991756] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH3?'
[2026-07-07 13:22:30.014795] [tm_devices] [    INFO] Response from 'SELect:CH3?' >>  '1'
[2026-07-07 13:22:30.015680] [tm_devices] [    INFO] (SCOPE 1) Query >>  'SELect:CH4?'
[2026-07-07 13:22:30.037606] [tm_devices] [    INFO] Response from 'SELect:CH4?' >>  '1'
[2026-07-07 13:22:30.054096] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:ENCdg RIBinary'
[2026-07-07 13:22:30.081920] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:WIDth 2'
[2026-07-07 13:22:30.101728] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:SOUrce CH1'
[2026-07-07 13:22:30.123121] [tm_devices] [    INFO] (SCOPE 1) Query >>  'HORizontal:RECOrdlength?'
[2026-07-07 13:22:30.145434] [tm_devices] [    INFO] Response from 'HORizontal:RECOrdlength?' >>  '125000'
[2026-07-07 13:22:30.146404] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STARt 1'
[2026-07-07 13:22:30.164218] [tm_devices] [    INFO] (SCOPE 1) Write >>  'DATa:STOP 125000'
[2026-07-07 13:22:30.183052] [tm_devices] [    INFO] (SCOPE 1) Query >>  'WFMPre:XINcr?'
[2026-07-07 13:22:30.331639] [tm_devices] [    INFO] Response from 'WFMPre:XINcr?' >>  '8.0000E-6'
