Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH3_Raw (V),CH3_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-3.84,-3.8381076414023214,3.24,3.2420386097004674,-0.0033333333333333327,-0.00333007382562138,-0.0003333333333333333,-0.0003820287143472445
-0.499992,-3.84,-3.83720741075994,3.32,3.2488456964536474,-0.0033333333333333327,-0.0033275518981551394,-0.001,-0.0004189103808150544
-0.499984,-3.84,-3.8364187564357,3.24,3.255509293644306,-0.0033333333333333327,-0.0033247315828895748,0.001,-0.00045444336966742006
-0.499976,-3.84,-3.835738630266788,3.32,3.261960017991062,-0.0033333333333333327,-0.003321626353122024,-0.001,-0.0004883549852584759
-0.499968,-3.84,-3.835162894386433,3.32,3.2681321894640374,-0.0033333333333333327,-0.0033182556408894864,-0.001,-0.0005203804589696628
-0.49996,-3.84,-3.834686438459237,3.32,3.273965366396055,-0.0033333333333333327,-0.0033146447363155912,-0.0003333333333333333,-0.0005502672495719623
-0.499952,-3.8,-3.8343032996392608,3.32,3.2794056841311288,-0.0033333333333333327,-0.003310824505010424,-0.0003333333333333333,-0.0005777796448484652
-0.499944,-3.84,-3.834006785667076,3.32,3.284406951486873,-0.0033333333333333327,-0.003306830912991501,-0.0003333333333333333,-0.0006027035683475422
-0.499936,-3.84,-3.833789601658865,3.32,3.2889314755633654,-0.0033333333333333327,-0.0033027043543652186,-0.0003333333333333333,-0.0006248515019985383
-0.499928,-3.84,-3.833643979810722,3.32,3.2929506019818993,-0.0033333333333333327,-0.003298488784128152,-0.0003333333333333333,-0.0006440674221790028
-0.49992,-3.84,-3.833561809234004,3.32,3.296444972979576,-0.0033333333333333327,-0.003294230666993672,-0.001,-0.000660231590030137
-0.499912,-3.84,-3.833534762068996,3.24,3.2994045192578194,-0.0033333333333333327,-0.0032899777631850776,-0.0016666666666666668,-0.0006732649550032972
-0.499904,-3.84,-3.8335544126888257,3.32,3.301828212436708,-0.0033333333333333327,-0.0032857777837107345,-0.001,-0.0006831328670131834
-0.499896,-3.84,-3.833612348705629,3.32,3.3037236120586955,-0.0033333333333333327,-0.00328167696078203,-0.0003333333333333333,-0.000689847794382908
-0.499888,-3.84,-3.833700274837288,3.24,3.3051062434493224,-0.0033333333333333327,-0.0032777185937669703,0.0003333333333333333,-0.000693470827846005
-0.49988,-3.8,-3.8338101130526687,3.32,3.305998841519113,-0.0033333333333333327,-0.0032739416473889726,-0.001,-0.0006941118643771585
-0.499872,-3.8,-3.8339341042977058,3.32,3.3064304927448847,-0.0025925925925925925,-0.0032703794956722093,-0.0023333333333333335,-0.0006919284233817345
-0.499864,-3.84,-3.834064917380695,3.32,3.3064357040028214,-0.0033333333333333327,-0.0032670589158237183,-0.001,-0.0006871230294038607
-0.499856,-3.84,-3.8341957680151046,3.32,3.3060534235368784,-0.0033333333333333327,-0.003263999426602775,-0.0016666666666666668,-0.0006799390835861034
-0.499848,-3.84,-3.8343205459268614,3.32,3.305326038082857,-0.0033333333333333327,-0.00326121302697098,-0.0003333333333333333,-0.0006706552428058858
-0.49984,-3.84,-3.834433942797794,3.24,3.3042983720268104,-0.0033333333333333327,-0.0032587043381278437,0.001,-0.0006595785337347171
-0.499832,-3.84,-3.834531571107626,3.24,3.30301671773126,-0.0033333333333333327,-0.0032564711158557464,-0.001,-0.0006470366449945113
-0.499824,-3.84,-3.834610064006624,3.32,3.3015279271907096,-0.0025925925925925925,-0.0032545050945032294,-0.0003333333333333333,-0.0006333699452907845
-0.499816,-3.84,-3.8346671479653054,3.32,3.2998785909290085,-0.0033333333333333327,-0.0032527931335624327,-0.0003333333333333333,-0.0006189237284532623
-0.499808,-3.84,-3.8347016819918625,3.24,3.29811432110881,-0.0033333333333333327,-0.0032513186341956647,0.0003333333333333333,-0.0006040410462722853
-0.4998,-3.84,-3.8347136592754776,3.24,3.2962791464044727,-0.0033333333333333327,-0.0032500631608720645,-0.001,-0.0005890563408383332
-0.499792,-3.84,-3.834704169152628,3.32,3.294415019080589,-0.0033333333333333327,-0.0032490081565628433,-0.0016666666666666668,-0.0005742899596315324
-0.499784,-3.84,-3.83467531931116,3.32,3.2925614282136144,-0.0033333333333333327,-0.003248136609146214,-0.0003333333333333333,-0.0005600435291626474
-0.499776,-3.84,-3.834630120151736,3.32,3.2907551053712543,-0.0033333333333333327,-0.003247434526965974,0.0003333333333333333,-0.0005465961071232581
-0.499768,-3.84,-3.8345723352260985,3.24,3.2890298029415623,-0.0033333333333333327,-0.003246892104066041,-0.0003333333333333333,-0.0005342010533356176
-0.49976,-3.84,-3.8345063036742095,3.32,3.287416124107488,-0.0033333333333333327,-0.003246504486237317,-0.001,-0.0005230836071639785
-0.499752,-3.84,-3.834436742594768,3.32,3.285941386248127,-0.0033333333333333327,-0.0032462720810511013,-0.001,-0.0005134391567335627
-0.499744,-3.8,-3.8343685392527433,3.24,3.2846295027658123,-0.0033333333333333327,-0.0032462003873592847,-0.0003333333333333333,-0.0005054321330093344
-0.499736,-3.84,-3.8343065446048055,3.32,3.2835008706639384,-0.0033333333333333327,-0.0032462993522536787,-0.0003333333333333333,-0.0004991954297786649
-0.499728,-3.84,-3.834255380046327,3.32,3.282572253535133,-0.0033333333333333327,-0.003246582296134985,-0.0003333333333333333,-0.0004948302766585441
-0.49972,-3.8,-3.8342192680234986,3.32,3.2818566525008483,-0.0033333333333333327,-0.0032470644792855223,-0.0003333333333333333,-0.0004924065395593344
-0.499712,-3.84,-3.83420189468148,3.32,3.2813631617180183,-0.0033333333333333327,-0.0032477614161069658,-0.0003333333333333333,-0.000491963438971476
-0.499704,-3.84,-3.8342063099152153,3.24,3.281096811917009,-0.0033333333333333327,-0.003248687075909325,-0.0003333333333333333,-0.0004935106485687866
-0.499696,-3.8,-3.834234867344184,3.32,3.2810584152192,-0.0025925925925925925,-0.0032498521406599534,-0.001,-0.000497029684854979
-0.499688,-3.84,-3.8342892038402465,3.24,3.2812444344151346,-0.0025925925925925925,-0.003251262512714404,-0.001,-0.0005024754477113286
-0.49968,-3.84,-3.8343702554100183,3.24,3.281646906586088,-0.0033333333333333327,-0.0032529182584586963,-0.0003333333333333333,-0.0005097777465104975
-0.499672,-3.84,-3.834478303461724,3.24,3.2822534529260885,-0.0033333333333333327,-0.00325481311401406,-0.0016666666666666668,-0.0005188426697551053
-0.499664,-3.84,-3.8346130430569154,3.24,3.2830474036659285,-0.0033333333333333327,-0.003256934573143771,0.0003333333333333333,-0.0005295537321530585
-0.499656,-3.84,-3.834773663533421,3.24,3.2840080590325607,-0.0033333333333333327,-0.0032592644709588414,-0.001,-0.0005417728403320338
