Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH3_Raw (V),CH3_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-3.96,-3.960076144572651,3.4,3.399674765193829,-0.0033333333333333327,-0.0033299552119254554,-0.001,-0.0008800839389726861
-0.499992,-3.92,-3.9597428900592937,3.4,3.399212905108731,-0.0033333333333333327,-0.0033305329214232964,-0.0003333333333333333,-0.0007895826386577706
-0.499984,-3.96,-3.959406742450217,3.4,3.39870495900838,-0.0033333333333333327,-0.0033312951761988647,-0.0003333333333333333,-0.0007076797545466359
-0.499976,-3.96,-3.9590735947819855,3.4,3.398150999361436,-0.0033333333333333327,-0.003332253102548165,-0.001,-0.000634741695623163
-0.499968,-3.96,-3.958749155399509,3.4,3.397552053944078,-0.0033333333333333327,-0.0033334153814040916,-0.0003333333333333333,-0.0005710269224263223
-0.49996,-3.96,-3.958438791078488,3.4,3.39691020925598,-0.0033333333333333327,-0.0033347878813906546,-0.001,-0.0005166814842232399
-0.499952,-3.96,-3.958147391130847,3.48,3.3962286565709645,-0.0033333333333333327,-0.003336373335580904,-0.0003333333333333333,-0.0004717358587244986
-0.499944,-3.92,-3.957879256514993,3.4,3.395511668621451,-0.0033333333333333327,-0.0033381710762302812,-0.0003333333333333333,-0.00043610324637381953
-0.499936,-3.96,-3.9576380174969112,3.4,3.39476449915118,-0.0033333333333333327,-0.003340176841647459,-0.0003333333333333333,-0.000409579489048602
-0.499928,-3.96,-3.957426582281869,3.4,3.3939932053437967,-0.0033333333333333327,-0.0033423826687368767,-0.001,-0.0003918448075407751
-0.49992,-3.96,-3.9572471164288983,3.4,3.3932044028116897,-0.0033333333333333327,-0.0033447768835222296,0.001,-0.0003824675652323085
-0.499912,-3.96,-3.9571010495280254,3.4,3.392404971125983,-0.0033333333333333327,-0.003347344200059428,0.0003333333333333333,-0.00038091026249008597
-0.499904,-3.96,-3.9569891032020537,3.32,3.3916017330296038,-0.0033333333333333327,-0.0033500659354940327,-0.0003333333333333333,-0.0003865379342791536
-0.499896,-3.96,-3.956911333803952,3.4,3.3908011327452865,-0.0033333333333333327,-0.0033529203455378827,-0.0003333333333333333,-0.0003986290306053121
-0.499888,-3.96,-3.956867183734684,3.4,3.390008938175713,-0.0033333333333333327,-0.0033558830802629495,-0.001,-0.000416388701556827
