Time (s),CH1_Raw (V),CH1_Filtered (V),CH2_Raw (V),CH2_Filtered (V),CH4_Raw (V),CH4_Filtered (V)
-0.5,-3.84,-3.840073081976685,3.26,3.261018777489958,0.0,-0.0001536743277379315
-0.499992,-3.84,-3.839565381510591,3.22,3.259120826986612,0.0,-9.420285197669231e-05
-0.499984,-3.84,-3.839069744695331,3.22,3.2571971693973927,0.0,-2.117402652909786e-05
-0.499976,-3.84,-3.838594480232677,3.22,3.2552765093216838,0.0,6.499909600088928e-05
-0.499968,-3.84,-3.8381472937876766,3.26,3.2533864146961142,0.0,0.0001638411237819186
-0.49996,-3.84,-3.8377350903940353,3.22,3.251552579465009,0.0,0.00027485186761474286
-0.499952,-3.84,-3.8373637928899624,3.22,3.249798196922901,0.0,0.00039753842762210224
-0.499944,-3.84,-3.837038181386144,3.22,3.2481434631160404,0.0,0.0005314394946956728
-0.499936,-3.84,-3.836761759452519,3.26,3.246605221327948,0.03333333333333333,0.0006761395193678095
-0.499928,-3.8,-3.8365366534898806,3.22,3.24519675052345,0.0,0.0008312706853094477
-0.49992,-3.84,-3.836363552257581,3.22,3.2439276926575946,-0.03333333333333333,0.0009965017953248868
-0.499912,-3.84,-3.836241692977792,3.26,3.242804106934823,0.03333333333333333,0.001171515377466346
-0.499904,-3.8,-3.8361688982819286,3.26,3.2418286337404942,0.0,0.001355976513322973
-0.499896,-3.84,-3.836141664958192,3.26,3.2410007468960766,0.0,0.0015494979472643303
-0.499888,-3.84,-3.836155301864717,3.22,3.240317070883995,-0.03333333333333333,0.0017516062940669027
-0.49988,-3.84,-3.836204110825189,3.26,3.2397717406368267,0.0,0.0019617144042489458
-0.499872,-3.84,-3.836281601158036,3.26,3.2393567845093023,0.0,0.0021791044811652342
-0.499864,-3.84,-3.8363807265730094,3.26,3.2390625143296377,0.0,0.0024029241905803526
-0.499856,-3.84,-3.836494132955985,3.22,3.238877909552453,0.03333333333333333,0.002632194298543308
-0.499848,-3.84,-3.836614406511393,3.22,3.2387909862817907,0.0,0.002865823325533679
-0.49984,-3.84,-3.836734313065804,3.26,3.2387891458978464,0.0,0.003102623881353664
-0.499832,-3.84,-3.8368470206945657,3.26,3.2388595004526004,0.0,0.0033413267927883154
-0.499824,-3.84,-3.836946299151812,3.22,3.2389891723856286,0.0,0.003580591527941603
-0.499816,-3.84,-3.8370266908599047,3.22,3.239165566122768,0.0,0.0038190130876391195
-0.499808,-3.84,-3.8370836494475737,3.26,3.239376610020391,0.03333333333333333,0.004055125787326717
-0.4998,-3.84,-3.8371136430189465,3.26,3.239610967996372,0.0,0.004287403878677462
-0.499792,-3.84,-3.837114220493368,3.22,3.23985822008103,0.0,0.0045142590340915886
-0.499784,-3.84,-3.8370840404848865,3.22,3.240109010951617,0.0,0.004734036026655523
-0.499776,-3.84,-3.8370228632992016,3.26,3.240355166210879,0.0,0.0049450098459932895
-0.499768,-3.84,-3.8369315077243806,3.26,3.240589776782789,0.0,0.005145388624508718
-0.49976,-3.84,-3.8368117753904527,3.22,3.240807251379513,0.0,0.00533332642396899
-0.499752,-3.84,-3.8366663465832658,3.26,3.241003336541979,0.0,0.0055069485444143714
-0.499744,-3.84,-3.8364986525309894,3.22,3.241175104509947,0.0,0.005664390207151746
-0.499736,-3.84,-3.836312730348464,3.26,3.241320910609975,0.0,0.0058038475294885285
-0.499728,-3.8,-3.836113067976605,3.26,3.2414403227897854,0.03333333333333333,0.005923637753710818
-0.49972,-3.84,-3.835904447247525,3.22,3.241534026382716,0.0,0.0060222640163706395
-0.499712,-3.84,-3.8356917928835994,3.26,3.241603708048,0.0,0.006098479190110162
-0.499704,-3.84,-3.835480033336241,3.22,3.2416519244053528,0.03333333333333333,0.006151343947311145
-0.499696,-3.84,-3.8352739767168114,3.22,3.2416819623509063,0.0,0.0061802757976539766
-0.499688,-3.8,-3.835078203260932,3.22,3.2416976982378305,0.0,0.006185087712142542
-0.49968,-3.84,-3.834896975270984,3.22,3.2417034612134374,0.0,0.00616601677825215
-0.499672,-3.84,-3.8347341650630815,3.3,3.2417039017974614,0.0,0.006123744848876511
-0.499664,-3.84,-3.8345931998658336,3.26,3.241703861330009,0.0,0.0060594136246155325
-0.499656,-3.84,-3.834477020346108,3.26,3.241708234043557,0.0,0.0059746356610860364
-0.499648,-3.84,-3.83438804805588,3.22,3.2417218141098454,0.0,0.005871500870749491
-0.49964,-3.84,-3.834328157421816,3.26,3.2417491250815695,0.03333333333333333,0.005752575887682821
-0.499632,-3.84,-3.8342986494562257,3.26,3.2417942355112777,0.0,0.005620891780658407
-0.499624,-3.84,-3.834300226380039,3.22,3.2418605691815423,0.0,0.005479914729251918
-0.499616,-3.84,-3.834332968452205,3.22,3.2419507210236262,0.03333333333333333,0.00533349486776516
-0.499608,-3.84,-3.8343963164257,3.26,3.242066291314529,0.0,0.005185790165810992
-0.4996,-3.8,-3.834489065128084,3.22,3.2422077509415024,0.03333333333333333,0.005041164270226488
-0.499592,-3.8,-3.8346093752707446,3.22,3.242374348930084,0.0,0.004904059683919532
-0.499584,-3.84,-3.8347548105953218,3.22,3.242564070567724,0.0,0.004778850848690529
-0.499576,-3.84,-3.8349224046208046,3.26,3.2427736508409204,0.0,0.004669685287975768
-0.499568,-3.84,-3.835108755902708,3.26,3.242998643412297,0.0,0.004580323871264411
-0.49956,-3.84,-3.835310145319265,3.22,3.2432335406928807,-0.03333333333333333,0.004513992500585138
-0.499552,-3.84,-3.83552266592216,3.26,3.2434719375307006,0.0,0.004473256743105164
-0.499544,-3.84,-3.8357423556760097,3.26,3.2437067304570766,0.0,0.0044599281856953785
-0.499536,-3.84,-3.8359653247183663,3.22,3.243930345300224,0.03333333333333333,0.004475006903466111
-0.499528,-3.84,-3.836187870476035,3.26,3.244134987170048,0.0,0.004518659681967
-0.49952,-3.84,-3.8364065756579264,3.22,3.2443129079839874,0.0,0.00459023056324196
-0.499512,-3.84,-3.8366183857476175,3.22,3.244456687371896,0.0,0.004688279968590792
-0.499504,-3.84,-3.8368206641392706,3.26,3.244559522148426,0.0,0.004810649995937242
-0.499496,-3.84,-3.837011224498284,3.26,3.2446155172279387,0.0,0.0049545544751056995
-0.499488,-3.84,-3.837188341284695,3.22,3.2446199676549856,0.0,0.00511669199858161
-0.49948,-3.84,-3.837350740654968,3.26,3.244569618935173,0.0,0.005293378762203864
-0.499472,-3.84,-3.8374975751602447,3.26,3.2444628920337926,0.0,0.005480696278595758
-0.499464,-3.84,-3.8376283867902408,3.26,3.2443000598091865,0.0,0.00567464715243874
-0.499456,-3.8,-3.8377430639180425,3.26,3.2440833628123396,0.03333333333333333,0.005871310222326926
-0.499448,-3.84,-3.8378417982341215,3.22,3.243817054804552,0.03333333333333333,0.006066984816955168
-0.49944,-3.84,-3.837925047058264,3.26,3.2435073721008507,0.0,0.006258313572005494
-0.499432,-3.84,-3.8379935040207696,3.26,3.2431624246630504,0.0,0.006442375236097545
-0.499424,-3.84,-3.838048077839396,3.26,3.2427920095263327,0.0,0.006616742864079352
-0.499416,-3.84,-3.8380898764405145,3.26,3.2424073491357754,0.03333333333333333,0.006779506742429921
-0.499408,-3.84,-3.8381201928118207,3.26,3.2420207600997495,0.0,0.006929263549843054
-0.4994,-3.84,-3.838140489264208,3.22,3.241645262513566,0.0,0.007065073972159013
-0.499392,-3.84,-3.838152377461799,3.22,3.241294145495064,0.06666666666666668,0.007186391789115124
-0.499384,-3.84,-3.838157592303197,3.22,3.2409805089661687,-0.03333333333333333,0.007292969120088202
-0.499376,-3.84,-3.8381579584490457,3.26,3.240716803068304,0.0,0.007384745012768284
-0.499368,-3.84,-3.8381553489948423,3.26,3.240514384439687,0.0,0.007461727397017253
-0.49936,-3.84,-3.838151636486616,3.22,3.240383104842748,0.0,0.007523880237620974
-0.499352,-3.84,-3.838148637173149,3.22,3.2403309451811024,0.0,0.007571027086904253
-0.499344,-3.84,-3.8381480500835985,3.26,3.240363707652608,0.0,0.007602779461171525
-0.499336,-3.84,-3.838151393214888,3.22,3.2404847789178666,0.03333333333333333,0.007618495119259236
-0.499328,-3.84,-3.8381599398094415,3.22,3.2406949760476924,-0.03333333333333333,0.007617268541219204
-0.49932,-3.84,-3.8381746584005594,3.22,3.2409924847371943,0.0,0.007597953990402461
-0.499312,-3.84,-3.8381961609990816,3.22,3.24137289621926,0.0,0.007559220057307021
-0.499304,-3.8,-3.838224664430792,3.22,3.2418293449142115,0.0,0.007499632406184706
-0.499296,-3.84,-3.8382599700540254,3.26,3.2423527427293473,0.03333333333333333,0.0074177579442255715
-0.499288,-3.84,-3.83830146612378,3.22,3.242932098923179,0.03333333333333333,0.007312279845353296
-0.49928,-3.84,-3.838348154448663,3.26,3.2435549081337447,0.0,0.0071821108051973144
-0.499272,-3.84,-3.838398699532244,3.26,3.2442075847469773,0.03333333333333333,0.007026492913207444
-0.499264,-3.84,-3.8384514957466727,3.26,3.2448759196373334,0.0,0.0068450762670595215
-0.499256,-3.84,-3.838504747076071,3.26,3.2455455354282288,0.0,0.00663797326414124
-0.499248,-3.84,-3.8385565541171585,3.26,3.246202318778314,0.0,0.00640578967699194
-0.49924,-3.84,-3.8386050035682815,3.26,3.246832812436962,0.0,0.006149636182282263
-0.499232,-3.84,-3.8386482560213286,3.26,3.247424555039612,0.0,0.00587112463236995
-0.499224,-3.84,-3.8386846284349767,3.22,3.247966361947091,0.03333333333333333,0.005572352338528742
-0.499216,-3.84,-3.8387126682128434,3.26,3.2484485451707568,0.0,0.0052558760151986605
-0.499208,-3.84,-3.8387312163377247,3.26,3.248863073752682,0.0,0.004924676148586993
-0.4992,-3.84,-3.838739457524979,3.26,3.249203677430105,0.0,0.004582113095781996
-0.499192,-3.84,-3.8387369558568434,3.26,3.249465896848672,0.0,0.004231877561872189
-0.499184,-3.84,-3.8387236748480897,3.22,3.2496470846109085,0.0,0.003877938875148359
-0.499176,-3.84,-3.8386999813753193,3.26,3.24974636355092,0.0,0.003524494002829965
-0.499168,-3.84,-3.8386666333811656,3.26,3.249764550604114,0.0,0.0031759189185620045
-0.49916,-3.84,-3.8386247517446113,3.22,3.2497040552255703,0.0,0.002836722388774497
-0.499152,-3.84,-3.838575777193384,3.22,3.249568760591106,-0.03333333333333333,0.0025115007345074707
-0.499144,-3.84,-3.83852141362787,3.26,3.249363894292536,0.03333333333333333,0.002204890451975064
-0.499136,-3.84,-3.8384635597315446,3.26,3.249095892530715,0.03333333333333333,0.0019215134427111732
-0.499128,-3.84,-3.83840423126376,3.26,3.2487722578282328,0.03333333333333333,0.001665907597792891
-0.49912,-3.84,-3.838345476969379,3.26,3.2484014067629867,0.0,0.001442435606669732
-0.499112,-3.84,-3.8382892915981937,3.22,3.247992503250813,0.0,0.0012551688297279123
-0.499104,-3.84,-3.8382375301065146,3.26,3.2475552744443834,0.0,0.0011077498949145896
-0.499096,-3.84,-3.8381918277144473,3.26,3.247099808385479,-0.03333333333333333,0.0010032441530631432
-0.499088,-3.8,-3.838153531055932,3.26,3.246636333576522,0.0,0.0009439936416754835
-0.49908,-3.84,-3.838123645830605,3.26,3.2461749810510225,0.0,0.0009314871605988681
-0.499072,-3.84,-3.838102805379884,3.26,3.2457255309216446,0.0,0.0009662573236148052
-0.499064,-3.84,-3.8380912619912526,3.22,3.245297148541052,0.0,0.0010478116696706313
-0.499056,-3.84,-3.8380888993060607,3.26,3.244898119503397,-0.03333333333333333,0.0011746017477295746
-0.499048,-3.84,-3.8380952616128328,3.22,3.2445355961529647,0.03333333333333333,0.0013440320033624067
-0.49904,-3.84,-3.8381095948709514,3.22,3.244215369810403,0.0,0.0015525085398788135
-0.499032,-3.84,-3.838130894554396,3.26,3.243941682215365,-0.03333333333333333,0.0017955259431984788
-0.499024,-3.84,-3.838157956063221,3.22,3.243717087059825,0.0,0.002067788821762221
-0.499016,-3.84,-3.8381894241651535,3.26,3.2435423687598064,0.0,0.002363363504886253
